DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,6q16.3,6.0,104114435.0,HACE1,NPM1P10 - AL356967.1,ENSG00000214428,ENSG00000218173,,87672.0,572806.0,rs138768039-T,rs138768039,0,138768039.0,intergenic_variant,1,0.986,4e-06,5.3979400086720375,,2.22,[1.59-3.10],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,18q12.1,18.0,30035671.0,"CDH2, MIR302F",AC117569.1 - MIR302F,ENSG00000264587,ENSG00000283218,,487430.0,263239.0,rs139481214-T,rs139481214,0,139481214.0,intergenic_variant,1,0.97,8e-06,5.096910013008057,,1.62,[1.31-2.01],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,7q35,7.0,143735931.0,"TCAF2, CTAGE6",TCAF2 - RNU6-267P,ENSG00000170379,ENSG00000252523,,5522.0,18697.0,rs140120210-C,rs140120210,0,140120210.0,intergenic_variant,1,0.986,8e-06,5.096910013008057,,2.13,[1.50-3.01],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,3q24,3.0,148156847.0,"LOC440982, AGTR1",AC092958.2 - AC025566.1,ENSG00000241792,ENSG00000244650,,29614.0,4064.0,rs141311255-C,rs141311255,0,141311255.0,intergenic_variant,1,0.938,8e-07,6.096910013008057,,1.45,[1.24-1.70],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,1p35.3,1.0,28632950.0,TAF12,TAF12,,,ENSG00000120656,,,rs144050412-A,rs144050412,0,144050412.0,intron_variant,0,0.016,4e-06,5.3979400086720375,,1.88,[1.33-2.66],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,19p13.12,19.0,14915251.0,"OR7A17, OR7C2",OR7A3P - OR7A11P,ENSG00000269787,ENSG00000198367,,11113.0,1177.0,rs1468308-C,rs1468308,0,1468308.0,regulatory_region_variant,1,0.42200000000000004,5e-06,5.301029995663981,,1.2,[1.11-1.29],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,10q25.2,10.0,112839276.0,"LOC103344931, TCF7L2",AL158212.4 - AL158212.1,ENSG00000279315,ENSG00000225292,,6822.0,49459.0,rs17746147-C,rs17746147,0,17746147.0,regulatory_region_variant,1,0.961,7.000000000000001e-06,5.154901959985743,,1.59,[1.30-1.93],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,13q33.2,13.0,105422547.0,"LINC01309, DAOA-AS1",RPL7P45 - DAOA-AS1,ENSG00000225823,ENSG00000232307,,607478.0,36508.0,rs2147479-T,rs2147479,0,2147479.0,intergenic_variant,1,0.66,4e-06,5.3979400086720375,,1.19,[1.10-1.29],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,12q23.1,12.0,100824525.0,ANO4,ANO4,,,ENSG00000151572,,,rs3897727-T,rs3897727,0,3897727.0,intron_variant,0,0.252,8e-06,5.096910013008057,,1.22,[1.12-1.33],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,22q13.31,22.0,46215129.0,PPARA,PPARA,,,ENSG00000186951,,,rs4253735-G,rs4253735,0,4253735.0,intron_variant,0,0.023,4e-06,5.3979400086720375,,1.65,[1.28-2.12],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,3p13,3.0,71694973.0,EIF4E3,"EIF4E3, AC097634.4",,,"ENSG00000163412, ENSG00000285708",,,rs56981400-G,rs56981400,0,56981400.0,intron_variant,0,0.9790000000000001,5e-06,5.301029995663981,,1.59,[1.23-2.05],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,18q12.1,18.0,30843940.0,"MIR302F, DSC3",AC090506.2 - AC016382.1,ENSG00000279734,ENSG00000265670,,63516.0,110880.0,rs57261374-G,rs57261374,0,57261374.0,intergenic_variant,1,0.848,1e-06,6.0,,1.3,[1.17-1.45],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,11q13.5,11.0,76674684.0,"LRRC32, GUCY2EP",LRRC32 - AP001189.4,ENSG00000137507,ENSG00000254975,,3937.0,395.0,rs60227687-A,rs60227687,0,60227687.0,regulatory_region_variant,1,0.057999999999999996,3e-06,5.522878745280337,,1.5,[1.26-1.77],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,20q13.32,20.0,58591228.0,APCDD1L-AS1,APCDD1L-DT,,,ENSG00000231290,,,rs6026382-T,rs6026382,0,6026382.0,intron_variant,0,0.9640000000000001,3e-06,5.522878745280337,,1.7,[1.36-2.14],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,7p21.2,7.0,15394605.0,AGMO,AGMO,,,ENSG00000187546,,,rs73284431-G,rs73284431,0,73284431.0,intron_variant,0,0.905,5e-09,8.301029995663981,,1.48,[1.30-1.69],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,22q13.32,22.0,49086117.0,LINC01310,LINC01310 - Z82202.2,ENSG00000205632,ENSG00000285623,,187731.0,80304.0,rs7364276-T,rs7364276,0,7364276.0,intergenic_variant,1,0.7879999999999999,9e-06,5.045757490560675,,1.23,[1.13-1.35],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,6p22.3,6.0,22925808.0,"HDGFL1, NRSN1",AL035401.1,,,ENSG00000233358,,,rs73741124-C,rs73741124,0,73741124.0,intron_variant,0,0.9840000000000001,2e-06,5.698970004336019,,2.11,[1.55-2.87],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,4q22.3,4.0,95452459.0,UNC5C,UNC5C,,,ENSG00000182168,,,rs73838836-A,rs73838836,0,73838836.0,intron_variant,0,0.023,5e-06,5.301029995663981,,1.48,[1.13-1.94],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,1p32.2,1.0,56794686.0,C1orf168,FYB2,,,ENSG00000187889,,,rs74073568-G,rs74073568,0,74073568.0,intron_variant,0,0.883,5e-06,5.301029995663981,,1.29,[1.15-1.45],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,8q11.23,8.0,52120383.0,ST18,ST18,,,ENSG00000147488,,,rs74927455-G,rs74927455,0,74927455.0,intron_variant,0,0.905,5e-06,5.301029995663981,,1.35,[1.19-1.54],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,1p31.2,1.0,68582346.0,"DEPDC1-AS1, LRRC7",DEPDC1-AS1 - AL035412.1,ENSG00000234264,ENSG00000285041,,43719.0,51355.0,rs7534008-T,rs7534008,0,7534008.0,intergenic_variant,1,0.44,7.000000000000001e-06,5.154901959985743,,1.18,[1.10-1.28],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,13q12.3,13.0,30182070.0,"LINC00544, KATNAL1",LINC00384 - AL157770.1,ENSG00000232117,ENSG00000279499,,22449.0,14373.0,rs76859863-G,rs76859863,0,76859863.0,intergenic_variant,1,0.8320000000000001,2e-07,6.698970004336019,,1.29,[1.17-1.42],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,6q27,6.0,170103681.0,"LINC00574, LOC102724511",AL049612.1 - AL596442.1,ENSG00000236173,ENSG00000232197,,293579.0,58836.0,rs7747641-C,rs7747641,0,7747641.0,regulatory_region_variant,1,0.9540000000000001,5e-06,5.301029995663981,,1.56,[1.29-1.89],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,5q14.1,5.0,78236244.0,AP3B1,AP3B1,,,ENSG00000132842,,,rs77741372-C,rs77741372,0,77741372.0,intron_variant,0,0.031,8e-06,5.096910013008057,,1.41,[1.13-1.75],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,10q25.2,10.0,112998590.0,TCF7L2,TCF7L2,,,ENSG00000148737,,,rs7903146-T,rs7903146,0,7903146.0,intron_variant,0,0.35600000000000004,5e-13,12.301029995663981,,1.32,[1.22-1.33],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,5p14.3,5.0,19054069.0,"LOC401177, CDH18",AC106744.1,,,ENSG00000249174,,,rs80240198-T,rs80240198,0,80240198.0,intron_variant,0,0.958,4e-06,5.3979400086720375,,1.54,[1.28-1.86],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,11q14.1,11.0,84441091.0,DLG2,DLG2,,,ENSG00000150672,,,rs80268399-T,rs80268399,0,80268399.0,intron_variant,0,0.9670000000000001,5e-06,5.301029995663981,,1.71,[1.34-2.16],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,17q23.2,17.0,62868479.0,MIR548W,PRELID3BP3 - AC005972.3,ENSG00000264907,ENSG00000283538,,26834.0,41542.0,rs887400-A,rs887400,0,887400.0,regulatory_region_variant,1,0.9620000000000001,4e-06,5.3979400086720375,,1.65,[1.33-2.06],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,3p25.3,3.0,8208835.0,"LOC101927394, LMCD1-AS1",LMCD1-AS1,,,ENSG00000227110,,,rs9847133-T,rs9847133,0,9847133.0,intron_variant,0,0.633,1e-06,6.0,,1.2,[1.11-1.30],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,3p14.1,3.0,64763995.0,ADAMTS9,ADAMTS9-AS2,,,ENSG00000241684,,,rs111558778-G,rs111558778,0,111558778.0,intron_variant,0,0.986,8e-07,6.096910013008057,,2.7777777,[1.85-4.17],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",1q32.3,1,213981376.0,PROX1,PROX1-AS1,,,ENSG00000230461,,,rs2075423-G,rs2075423,0,2075423.0,non_coding_transcript_exon_variant,0,0.622753026853543,8e-09,8.096910013008056,,1.07,[1.05-1.10],"Affymetrix, Illumina [up to 2500000] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST005047,Genome-wide genotyping array
